"R0.1" "R0.2" "Reffs.1" "Reffs.2" "Reffs.3" "Reffs.4" "Reffs.5" "Reffs.6" "seeds" "error1s_ov" "error2s_ov" "errors1_rest" "errors2_rest"
"1" 5.12333381793141 2.65346045717553 1.18563185307331 0.685745661315528 1.78003931714261 1.37227028087616 0.496037549244474 0.721338107644472 1654504458.15916 1377 0.226227907430915 6022 4.36752270286105
"2" 5.31322599222441 3.73874706162988 1.01124352681075 0.738362786202792 1.93542256089234 1.30255614782324 0.514945111813034 0.994077915446923 1654468244.65927 1691 0.260951078996192 6054 4.67526608729617
"3" 5.21903519970741 3.38613274550167 1.0495540469815 0.727118109934866 0.71442279268927 1.459258014641 0.488671617063859 1.10526119349648 1654929401.48957 1701 0.264232008592911 6117 4.68643687139929
"4" 5.16138137995459 3.68354158387499 1.02785334019134 0.731635281231857 1.66802693249747 1.36023879749533 0.506423391641101 1.66581732240611 1654660700.36938 1743 0.272219509813495 6139 4.78060736256225
"5" 5.67487831958211 3.50208875174069 1.07484331166949 0.719772375795306 1.33012970688772 1.41475353827159 0.495198436239193 0.489260300117118 1654344300.73389 1762 0.279757836148814 6177 4.8224782736061
"6" 5.28598350414931 2.84077610401032 1.1374920963596 0.705847362938242 1.18084146537831 1.42208533304143 0.491210401631416 0.887386956130231 1654769160.05009 1819 0.281535006347036 6267 4.84821794746607
"7" 5.09666982524939 3.55665252849927 0.989056589147916 0.745011576459048 1.96299571883654 1.43860340660509 0.503404645032914 1.74794912287498 1654392095.76898 1854 0.283800410116199 6344 4.93010448198419
"8" 5.56905393200106 3.50043861841549 1.0347505321476 0.729260574161805 1.39106589456821 1.3457717952199 0.467883674110573 1.30984123495336 1654909946.09002 1880 0.289561566253295 6347 4.93822868860464
"9" 4.84169614094191 3.52837410340356 1.03369903025285 0.72600030150427 0.537932605364764 1.35170645449715 0.498040885481573 1.30191522679332 1654524794.00211 1882 0.295478957133092 6352 5.0262669661166
"10" 5.60953426799318 3.37831695136207 1.03728663149663 0.724099584497214 1.8377837790315 1.41960719108469 0.489831068029566 1.29286735497383 1654284167.25016 1885 0.298466946587247 6363 5.15475051264526
"11" 4.8338450791612 3.36626000907488 1.09419209508182 0.710467155513213 0.870466837952495 1.42769634870673 0.483395047946356 1.71690059473312 1654476677.4766 1901 0.304032809295967 6371 5.2620447221951
"12" 5.6121084048004 3.24230465267425 1.1093439724625 0.712189686291226 1.49662637480872 1.38940562898837 0.488376526170315 0.736830980372053 1654551751.3139 1904 0.31096572600332 6375 5.26257201445172
"13" 5.63037697133802 3.57580432125464 1.07435591249453 0.714532598092011 1.16523081417791 1.34294946147393 0.507240059551364 2.08363026577309 1654662467.52157 1910 0.314656771799629 6378 5.31973440093741
"14" 4.66739539520558 3.8297469512266 1.0295109989793 0.739723957749691 1.94859578270535 1.45285398030481 0.501315391115856 0.611486556969339 1654606070.65108 1911 0.316512059369202 6379 5.33160824138269
"15" 5.0114057856755 3.60924275378929 1.08986647734753 0.697810822604352 2.11901909048621 1.38063032399669 0.516462401221902 1.08958864907833 1654082911.77518 1930 0.316922175568792 6392 5.34287667219999
"16" 5.20019982476356 3.76472499875562 1.06825931391243 0.733051509591856 2.01125551494485 1.40174211710722 0.486618954819372 1.39052548115309 1654853273.4123 1937 0.319109461966605 6392 5.34949711942193
"17" 5.16821540073336 3.31957351500445 1.13605653132937 0.682823543079829 1.29962610692716 1.41415265546057 0.502330036297755 2.89958849403768 1654260316.88213 1939 0.322878625134264 6397 5.36289424860854
"18" 5.67376537369469 3.10625467979706 1.1358647105836 0.682027368797446 1.83042843861681 1.27730353965422 0.525589083148904 1.36841197631126 1654435888.3283 1962 0.327272727272727 6399 5.37728737427986
"19" 6.36680803620427 3.14584843156343 1.16111475772886 0.700974093563405 0.89185083660218 1.30777422511422 0.492255327619718 1.82147718433238 1654114200.04881 1965 0.331354359925788 6399 5.38541158090031
"20" 5.41027278359325 3.10677148081114 1.15755191025217 0.68159695020133 0.785899778258263 1.2835995176305 0.53591010149657 2.86096086381958 1654777501.55838 1970 0.337486573576799 6416 5.45657650620056
"21" 5.09936730004487 3.60496470957658 1.04973630715719 0.697297770122426 0.862114627953673 1.37612943501591 0.498494451713546 1.94302739423106 1654525894.21257 1974 0.34025974025974 6416 5.46813787716043
"22" 5.65421815507635 3.56592904833162 1.06603305791945 0.705375641651851 0.3622361649573 1.3004081753461 0.502359637046849 0.638585181325956 1654471079.98206 1977 0.343970315398887 6428 5.46856752270286
"23" 4.913320662968 3.1143107315967 1.06042478132506 0.739264455001461 1.40483615130092 1.46111311494316 0.48579299450188 0.0570315687711797 1654233332.27462 1997 0.346001367053999 6436 5.49620154281809
"24" 5.44687727004349 3.63346432471996 1.02821438285574 0.721240279984065 1.76762980770683 1.39458784428615 0.516277142434001 0.845371696231006 1654006597.89023 1999 0.348169124108974 6439 5.52016404647984
"25" 5.21771131189689 4.38574073096941 0.930143097529574 0.773429883627566 0.172378106627133 1.4123497244818 0.465897782306867 0.485520592144651 1653992781.17951 2013 0.349106532565179 6452 5.55424274973147
"26" 5.78232635700766 3.51462980458585 1.04585710286937 0.7047193907797 0.576026186497166 1.33191132106796 0.517361620320986 0.749277459439129 1653956333.73582 2030 0.351020408163265 6473 5.58754027926961
"27" 5.6438958631349 3.43123767101724 1.01317681312307 0.738895675650018 0.743106314480362 1.33175866053685 0.500889078695931 0.17723719183329 1654627662.4063 2047 0.355180158187677 6478 5.59490284151939
"28" 5.98211306166117 3.04813190544414 1.12989347846611 0.71153826252188 0.772014409172518 1.29370081021653 0.50953452736007 1.38962317398681 1654253107.04555 2047 0.355473098330242 6479 5.60085929108486
"29" 5.50625595631024 3.54551170866021 1.05135615894189 0.722093413289877 1.23027943401907 1.3484511022664 0.532589667099457 0.782217698683474 1654786885.14094 2051 0.355922273215506 6482 5.60345669368226
"30" 5.80842653375681 3.50027001377179 1.07594410216558 0.695505052455609 0.539293401349153 1.37053953045106 0.527980981346705 2.6060982323659 1654197169.02492 2055 0.356371448100771 6495 5.61134654818865
"31" 5.10001267315177 3.67137015557077 1.04605027264278 0.736378174815515 0.629353747684154 1.46349627653884 0.471223055859538 0.845280412423145 1654399306.99805 2056 0.360433551410995 6499 5.64624548383948
"32" 5.78320783573818 4.01999447591991 0.967612085447237 0.734056460800566 0.0994860381632951 1.28604586099579 0.568801549429123 1.15505199784828 1654744794.70233 2061 0.360999902353286 6501 5.65364710477493
"33" 4.99187675492408 3.37671368647403 1.09182047083107 0.728391102838317 1.96679232800499 1.35227387455845 0.542642288181138 0.685927916506742 1654781090.07343 2061 0.36521824040621 6508 5.71826970022459
"34" 5.81084609642862 3.00806275666135 1.17097763704644 0.681035750247768 1.68027270645021 1.29087271785522 0.507352957866599 0.032983025438591 1654850542.68111 2063 0.366311883605117 6510 5.74363831657065
"35" 6.20338072151964 3.45714876122551 1.05212079704408 0.731872129819754 1.81721946338502 1.26458487468547 0.511192690218512 0.850717171217869 1654520068.89963 2073 0.36734693877551 6511 5.75775803144225
"36" 5.0763059357527 3.68269560846425 1.02974572699514 0.732832777669854 0.295285648494006 1.3997395580485 0.513025411431885 0.370763038967925 1654825497.62034 2076 0.370178693486964 6519 5.76185919343815
"37" 4.93479099357284 3.86483540200555 1.06492682833529 0.735642813119182 0.855039801672593 1.4139321727013 0.497780979766787 1.06156233098462 1653986129.25725 2080 0.371233278000195 6520 5.77306903622694
"38" 5.33061989817828 3.98412858646718 0.975566493170097 0.758086285680263 1.60037533442661 1.33834665964847 0.511454175283088 0.938354695014955 1654595556.18806 2081 0.373752563226247 6545 5.81251830875892
"39" 5.33729778498343 3.65594113852623 0.974402302810519 0.750144822241021 0.290832971410243 1.41788125659849 0.486328292645385 1.48588586864837 1654700036.28533 2087 0.374943853139342 6546 5.81927546138073
"40" 5.16949642307448 4.02851314732969 0.991364013235702 0.722647980444992 1.62060739266382 1.41577492796605 0.463695107831024 0.296101556291116 1654390283.33175 2097 0.375432086710282 6546 5.82214627477786
"41" 5.60678396733028 3.34245073417817 1.09904427709449 0.717710786128584 1.66424859402519 1.37440460138765 0.510379611023926 1.48487092863402 1654387418.21528 2107 0.381857240503857 6550 5.82607167268822
"42" 5.89966374681594 2.93778003062915 1.17877191048748 0.676253502540372 0.523369942358991 1.29865064694623 0.519049297328145 1.47778011536936 1654460004.53209 2108 0.382482179474661 6553 5.83179377013964
"43" 5.69206634899413 3.45744531651469 1.02257048770334 0.727743616914254 1.40176051720465 1.39812404834117 0.48411154898842 0.561965203462198 1654722240.52541 2117 0.382872766331413 6561 5.83894150961821
"44" 5.1145787408344 3.7082554723325 1.06519816211332 0.729489758594105 0.578781303731781 1.42976220713947 0.517649296503434 2.55994107720781 1654225545.36762 2120 0.383009471731276 6580 5.84360902255639
"45" 5.84915315371985 3.29904443427772 1.12739905149263 0.704399467905394 1.02202522069511 1.32991080851718 0.468682110759037 0.992066982805099 1654615430.91357 2121 0.387344985841227 6587 5.87038375158677
"46" 5.56548754752432 3.62834707855647 1.03630897225575 0.703812464107026 1.4362189956096 1.38178415202904 0.503147303981472 0.986426583661919 1654129909.61459 2125 0.387774631383654 6588 5.9014549360414
"47" 5.14379947036296 3.18943883934113 1.12786384908781 0.689238919739915 1.66535288134849 1.39504808886072 0.488093900437267 2.05840275723508 1654462061.45202 2129 0.387872278097842 6598 5.91075090323211
